Pais,Ano,Nombre_Indicador,Fuente_General,Fuente_Especifica,Categoria,Subcategoria1,Nivel_Educativo,Tipo_Desagregacion,Desagregacion,Edades,Valor
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,No_Aplica,No_Desagregado,No_Aplica,112.1099915
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,No_Aplica,No_Desagregado,No_Aplica,83.44922233
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,No_Aplica,No_Desagregado,No_Aplica,35.95672157
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Prescolar,No_Aplica,No_Desagregado,No_Aplica,58.23249314
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,No_Aplica,No_Desagregado,No_Aplica,94.19221903
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,No_Aplica,No_Desagregado,No_Aplica,66.12597466
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,No_Aplica,No_Desagregado,No_Aplica,20.51409495
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,4_5,67.93449563
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,6_11,96.63615112
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,12_14,88.7744441
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_17,76.32090926
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,18_23,35.78211772
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,4_5,32.06550393
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,6_11,3.363848754
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,12_14,11.22555561
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_17,23.67909127
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,18_23,64.21788287
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,0,No_Aplica,No_Desagregado,No_Aplica,8.29052246
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,1_a_5,No_Aplica,No_Desagregado,No_Aplica,22.09439878
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,6,No_Aplica,No_Desagregado,No_Aplica,13.81091902
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,7_a_11,No_Aplica,No_Desagregado,No_Aplica,31.24637542
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,12,No_Aplica,No_Desagregado,No_Aplica,8.905531302
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,13_mas,No_Aplica,No_Desagregado,No_Aplica,18.6746185
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_24,20.99460036
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_29,21.99177724
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_24,15.69147235
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,No_Aplica,No_Desagregado,15_29,16.59038198
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Primaria,No_Aplica,No_Desagregado,No_Aplica,66.45376027
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Secundaria,No_Aplica,No_Desagregado,No_Aplica,44.67729253
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Genero,Hombre,No_Aplica,113.402537
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Genero,Hombre,No_Aplica,80.16131139
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Genero,Hombre,No_Aplica,32.81277758
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Prescolar,Genero,Hombre,No_Aplica,58.94063655
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Genero,Hombre,No_Aplica,94.1375178
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Genero,Hombre,No_Aplica,63.89123082
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Genero,Hombre,No_Aplica,18.80660856
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,4_5,68.16727315
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,6_11,96.45700124
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,12_14,88.56500363
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_17,75.28208184
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,18_23,34.41381919
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,4_5,31.83272736
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,6_11,3.542999339
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,12_14,11.43499661
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_17,24.71791863
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,18_23,65.58618093
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,0,Genero,Hombre,No_Aplica,7.006252994
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,1_a_5,Genero,Hombre,No_Aplica,22.21718173
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,6,Genero,Hombre,No_Aplica,14.00058747
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,7_a_11,Genero,Hombre,No_Aplica,32.04688117
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,12,Genero,Hombre,No_Aplica,9.053763013
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,13_mas,Genero,Hombre,No_Aplica,18.72416196
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_24,12.50081128
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_29,11.59756309
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_24,7.286822312
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Hombre,15_29,6.468943119
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Primaria,Genero,Hombre,No_Aplica,63.60092545
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Secundaria,Genero,Hombre,No_Aplica,41.34474927
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Genero,Mujer,No_Aplica,110.7564946
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Genero,Mujer,No_Aplica,86.8594718
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Genero,Mujer,No_Aplica,39.05013928
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Prescolar,Genero,Mujer,No_Aplica,57.4751469
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Genero,Mujer,No_Aplica,94.24477285
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Genero,Mujer,No_Aplica,68.44568896
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Genero,Mujer,No_Aplica,22.20722629
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,4_5,67.68098934
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,6_11,96.82034912
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,12_14,88.98892069
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_17,77.40170646
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,18_23,37.14408505
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,4_5,32.31901117
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,6_11,3.179650511
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,12_14,11.01107815
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_17,22.59829432
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,18_23,62.85591459
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,0,Genero,Mujer,No_Aplica,9.433727484
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,1_a_5,Genero,Mujer,No_Aplica,21.97226389
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,6,Genero,Mujer,No_Aplica,13.62756466
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,7_a_11,Genero,Mujer,No_Aplica,30.52479076
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,12,Genero,Mujer,No_Aplica,8.776768155
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,13_mas,Genero,Mujer,No_Aplica,18.66230719
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_24,29.31900895
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_29,32.00555456
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_24,23.92919421
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Genero,Mujer,15_29,26.33713937
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Primaria,Genero,Mujer,No_Aplica,69.43923696
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Secundaria,Genero,Mujer,No_Aplica,47.92500603
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Socioeconomico,Quintil_1,No_Aplica,114.5299917
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Socioeconomico,Quintil_1,No_Aplica,63.21396879
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Socioeconomico,Quintil_1,No_Aplica,10.23735998
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Prescolar,Socioeconomico,Quintil_1,No_Aplica,51.85227585
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Socioeconomico,Quintil_1,No_Aplica,92.73666709
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Socioeconomico,Quintil_1,No_Aplica,52.28899269
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Socioeconomico,Quintil_1,No_Aplica,6.73840344
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,4_5,63.56389847
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,6_11,94.44732557
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,12_14,84.15763245
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_17,65.54410845
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,18_23,21.9407767
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,4_5,36.4361021
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,6_11,5.55267357
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,12_14,15.84236662
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_17,34.45589275
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,18_23,78.05922267
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,0,Socioeconomico,Quintil_1,No_Aplica,16.41773376
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,1_a_5,Socioeconomico,Quintil_1,No_Aplica,33.17202628
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,6,Socioeconomico,Quintil_1,No_Aplica,17.19186759
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,7_a_11,Socioeconomico,Quintil_1,No_Aplica,27.8924527
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,12,Socioeconomico,Quintil_1,No_Aplica,4.652480967
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,13_mas,Socioeconomico,Quintil_1,No_Aplica,5.385796674
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_24,32.77414246
_LAC,2006,Ninis_no,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_29,34.96628316
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_24,25.16100368
_LAC,2006,Ninis,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_1,15_29,27.09063848
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Primaria,Socioeconomico,Quintil_1,No_Aplica,53.66701385
_LAC,2006,Tasa_Graduacion,ENH,N/A,Eficiencia,No_Aplica,Secundaria,Socioeconomico,Quintil_1,No_Aplica,26.53273158
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Socioeconomico,Quintil_2,No_Aplica,112.823773
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Socioeconomico,Quintil_2,No_Aplica,76.67919324
_LAC,2006,Tasa_Bruta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Socioeconomico,Quintil_2,No_Aplica,15.2823448
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Prescolar,Socioeconomico,Quintil_2,No_Aplica,59.38260117
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Primaria,Socioeconomico,Quintil_2,No_Aplica,94.24266488
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Secundaria,Socioeconomico,Quintil_2,No_Aplica,61.58109665
_LAC,2006,Tasa_Neta_Matri,ENH,N/A,Cobertura,No_Aplica,Superior,Socioeconomico,Quintil_2,No_Aplica,9.91760819
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,4_5,71.48450584
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,6_11,96.42322649
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,12_14,87.08028463
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,15_17,71.52557602
_LAC,2006,Tasa_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,18_23,26.12932173
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,4_5,28.5154943
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,6_11,3.576773586
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,12_14,12.91971481
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,15_17,28.47442404
_LAC,2006,Tasa_No_Asistencia,ENH,N/A,Cobertura,No_Aplica,No_Aplica,Socioeconomico,Quintil_2,18_23,73.87067846
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,0,Socioeconomico,Quintil_2,No_Aplica,11.13989539
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,1_a_5,Socioeconomico,Quintil_2,No_Aplica,28.32953491
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,6,Socioeconomico,Quintil_2,No_Aplica,17.07810631
_LAC,2006,Nivel_Educ_25,ENH,N/A,Cobertura,No_Aplica,7_a_11,Socioeconomico,Quintil_2,No_Aplica,33.66550517
