country_id,country,country_es,Parent1Name,Parent1Name_es,Parent2Name,Parent2Name_es,Parent3Name,Parent3Name_es,Parent4Name,Parent4Name_es,ind_id,description,description_es,code,comm_id,Category,unit,year,value,Commoditie,Commoditie_es,unitusd,valueusd,Graph_Order
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,85,2,ratio,2013,2.131644271,Sweet Potatoes,Batata,ratio,2.131644271,220
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,51,2,ratio,2013,1.555018605,Yam,Ñame,ratio,1.555018605,220
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,44,2,ratio,2013,1.935562594,Tomatoes,Tomate,ratio,1.935562594,220
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,5,2,ratio,2013,1.626946779,Beans,Frijol,ratio,1.626946779,220
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,9,2,ratio,2013,0.819246461,Cotton,Algodón,ratio,0.819246461,220
BA,BARBADOS,BARBADOS,Consumer NPC,CPN del Consumidor,NULL,NULL,NULL,NULL,NULL,NULL,22,Consumer NPC,CPN del Consumidor,CNPC,20,2,ratio,2013,1.555016525,Milk,Leche,ratio,1.555016525,220
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,34,3,%,2011,25.56808005,Refined Sugar,Azúcar Refinada,%,25.56808005,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,5,3,%,2011,46.64249446,Beans,Frijol,%,46.64249446,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,85,3,%,2011,26.44485268,Sweet Potatoes,Batata,%,26.44485268,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,51,3,%,2011,38.44810006,Yam,Ñame,%,38.44810006,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,44,3,%,2011,56.35293806,Tomatoes,Tomate,%,56.35293806,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,9,3,%,2011,-31.09029617,Cotton,Algodón,%,-31.09029617,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,20,3,%,2011,37.34834457,Milk,Leche,%,37.34834457,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,31,3,%,2011,33.32786958,Poultry Meat,Carne de Pollo,%,33.32786958,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,56,3,%,2011,-26.11663765,Cassava,Yuca,%,-26.11663765,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,34,3,%,2012,32.58458454,Refined Sugar,Azúcar Refinada,%,32.58458454,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,5,3,%,2012,38.53311124,Beans,Frijol,%,38.53311124,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,85,3,%,2012,58.55613534,Sweet Potatoes,Batata,%,58.55613534,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,51,3,%,2012,49.06252239,Yam,Ñame,%,49.06252239,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,44,3,%,2012,57.37098345,Tomatoes,Tomate,%,57.37098345,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,9,3,%,2012,-31.64118328,Cotton,Algodón,%,-31.64118328,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,20,3,%,2012,41.21825799,Milk,Leche,%,41.21825799,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,31,3,%,2012,28.26461272,Poultry Meat,Carne de Pollo,%,28.26461272,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,56,3,%,2012,-3.935400688,Cassava,Yuca,%,-3.935400688,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,34,3,%,2013,64.21898539,Refined Sugar,Azúcar Refinada,%,64.21898539,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,5,3,%,2013,38.53517444,Beans,Frijol,%,38.53517444,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,85,3,%,2013,53.0878574,Sweet Potatoes,Batata,%,53.0878574,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,51,3,%,2013,35.69208775,Yam,Ñame,%,35.69208775,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,44,3,%,2013,48.3354347,Tomatoes,Tomate,%,48.3354347,130
BA,BARBADOS,BARBADOS,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),NULL,NULL,NULL,NULL,NULL,NULL,33,% Producer Single Commodity Transfers,Transferencias al Productor de un Producto Individual (%),PSCTP,9,3,%,2013,-22.06338971,Cotton,Algodón,%,-22.06338971,130
